"solar","wind","hydro","biofuel"
4607.88,6143.84,107517.2,35327.08
4607.88,10751.72,99837.4,38399
3071.92,9215.76,107517.2,33791.12
0,9215.76,104445.28,39934.96
4607.88,6143.84,105981.24,36863.04
4607.88,9215.76,102909.32,36863.04
4607.88,3071.92,107517.2,38399
3071.92,6143.84,107517.2,36863.04
1535.96,10751.72,102909.32,38399
4607.88,7679.8,105981.24,35327.08
0,7679.8,107517.2,38399
1535.96,10751.72,102909.32,38399
1535.96,7679.8,107517.2,36863.04
4607.88,9215.76,101373.36,38399
4607.88,6143.84,102909.32,39934.96
0,9215.76,107517.2,36863.04
0,10751.72,102909.32,39934.96
4607.88,10751.72,99837.4,38399
0,10751.72,104445.28,38399
3071.92,10751.72,107517.2,32255.16
3071.92,7679.8,102909.32,39934.96
1535.96,10751.72,102909.32,38399
3071.92,10751.72,102909.32,36863.04
4607.88,10751.72,98301.44,39934.96
3071.92,7679.8,105981.24,36863.04
4607.88,7679.8,101373.36,39934.96
1535.96,6143.84,105981.24,39934.96
1535.96,6143.84,107517.2,38399
3071.92,4607.88,107517.2,38399
1535.96,10751.72,105981.24,35327.08
3071.92,4607.88,107517.2,38399
1535.96,10751.72,105981.24,35327.08
0,10751.72,107517.2,35327.08
4607.88,10751.72,107517.2,30719.2
0,9215.76,107517.2,36863.04
0,9215.76,104445.28,39934.96
1535.96,6143.84,107517.2,38399
3071.92,10751.72,104445.28,35327.08
3071.92,9215.76,107517.2,33791.12
3071.92,9215.76,107517.2,33791.12
0,6143.84,107517.2,39934.96
1535.96,6143.84,105981.24,39934.96
4607.88,4607.88,107517.2,36863.04
1535.96,4607.88,107517.2,39934.96
4607.88,3071.92,105981.24,39934.96
3071.92,9215.76,104445.28,36863.04
3071.92,10751.72,102909.32,36863.04
4607.88,10751.72,107517.2,30719.2
1535.96,9215.76,102909.32,39934.96
1535.96,10751.72,105981.24,35327.08
4607.88,10751.72,105981.24,32255.16
1535.96,6143.84,105981.24,39934.96
0,7679.8,107517.2,38399
1535.96,9215.76,102909.32,39934.96
0,6143.84,107517.2,39934.96
4607.88,3071.92,105981.24,39934.96
1535.96,6143.84,105981.24,39934.96
3071.92,4607.88,107517.2,38399
4607.88,10751.72,102909.32,35327.08
3071.92,6143.84,104445.28,39934.96
4607.88,10751.72,105981.24,32255.16
3071.92,6143.84,104445.28,39934.96
3071.92,9215.76,102909.32,38399
1535.96,4607.88,107517.2,39934.96
3071.92,10751.72,105981.24,33791.12
3071.92,10751.72,101373.36,38399
1535.96,9215.76,104445.28,38399
4607.88,7679.8,107517.2,33791.12
4607.88,9215.76,102909.32,36863.04
3071.92,6143.84,107517.2,36863.04
4607.88,6143.84,107517.2,35327.08
3071.92,10751.72,105981.24,33791.12
3071.92,6143.84,107517.2,36863.04
0,10751.72,104445.28,38399
1535.96,6143.84,107517.2,38399
4607.88,9215.76,104445.28,35327.08
4607.88,10751.72,99837.4,38399
1535.96,10751.72,107517.2,33791.12
3071.92,7679.8,107517.2,35327.08
4607.88,9215.76,99837.4,39934.96
1535.96,10751.72,101373.36,39934.96
1535.96,10751.72,105981.24,35327.08
1535.96,10751.72,102909.32,38399
3071.92,9215.76,101373.36,39934.96
1535.96,7679.8,107517.2,36863.04
4607.88,7679.8,107517.2,33791.12
1535.96,9215.76,105981.24,36863.04
0,9215.76,104445.28,39934.96
3071.92,7679.8,105981.24,36863.04
3071.92,9215.76,107517.2,33791.12
4607.88,10751.72,104445.28,33791.12
0,6143.84,107517.2,39934.96
4607.88,10751.72,98301.44,39934.96
0,7679.8,105981.24,39934.96
0,9215.76,105981.24,38399
4607.88,9215.76,101373.36,38399
3071.92,6143.84,105981.24,38399
4607.88,7679.8,101373.36,39934.96
1535.96,6143.84,105981.24,39934.96
4607.88,7679.8,107517.2,33791.12
1535.96,10751.72,102909.32,38399
4607.88,1535.96,107517.2,39934.96
0,6143.84,107517.2,39934.96
0,7679.8,105981.24,39934.96
1535.96,9215.76,105981.24,36863.04
1535.96,10751.72,105981.24,35327.08
4607.88,10751.72,101373.36,36863.04
4607.88,9215.76,107517.2,32255.16
1535.96,9215.76,102909.32,39934.96
4607.88,9215.76,102909.32,36863.04
3071.92,7679.8,105981.24,36863.04
4607.88,9215.76,107517.2,32255.16
0,6143.84,107517.2,39934.96
1535.96,10751.72,102909.32,38399
1535.96,4607.88,107517.2,39934.96
4607.88,10751.72,102909.32,35327.08
0,10751.72,107517.2,35327.08
1535.96,10751.72,102909.32,38399
3071.92,7679.8,104445.28,38399
3071.92,10751.72,107517.2,32255.16
3071.92,9215.76,107517.2,33791.12
4607.88,9215.76,99837.4,39934.96
3071.92,10751.72,102909.32,36863.04
3071.92,6143.84,105981.24,38399
1535.96,10751.72,105981.24,35327.08
1535.96,7679.8,105981.24,38399
4607.88,9215.76,101373.36,38399
3071.92,3071.92,107517.2,39934.96
4607.88,7679.8,101373.36,39934.96
3071.92,7679.8,105981.24,36863.04
4607.88,6143.84,102909.32,39934.96
3071.92,10751.72,99837.4,39934.96
3071.92,9215.76,102909.32,38399
3071.92,6143.84,105981.24,38399
4607.88,7679.8,102909.32,38399
0,9215.76,107517.2,36863.04
1535.96,6143.84,107517.2,38399
0,10751.72,107517.2,35327.08
3071.92,7679.8,105981.24,36863.04
4607.88,6143.84,105981.24,36863.04
4607.88,10751.72,99837.4,38399
4607.88,4607.88,107517.2,36863.04
4607.88,9215.76,99837.4,39934.96
0,10751.72,104445.28,38399
3071.92,10751.72,101373.36,38399
3071.92,4607.88,107517.2,38399
1535.96,6143.84,105981.24,39934.96
0,7679.8,105981.24,39934.96
0,7679.8,107517.2,38399
4607.88,4607.88,107517.2,36863.04
3071.92,10751.72,105981.24,33791.12
1535.96,10751.72,104445.28,36863.04
4607.88,7679.8,101373.36,39934.96
4607.88,10751.72,102909.32,35327.08
4607.88,7679.8,105981.24,35327.08
1535.96,10751.72,105981.24,35327.08
1535.96,10751.72,101373.36,39934.96
4607.88,7679.8,105981.24,35327.08
0,7679.8,105981.24,39934.96
3071.92,10751.72,104445.28,35327.08
1535.96,9215.76,102909.32,39934.96
3071.92,9215.76,101373.36,39934.96
0,10751.72,102909.32,39934.96
3071.92,10751.72,102909.32,36863.04
4607.88,9215.76,107517.2,32255.16
4607.88,7679.8,101373.36,39934.96
1535.96,9215.76,105981.24,36863.04
0,9215.76,107517.2,36863.04
0,10751.72,104445.28,38399
3071.92,7679.8,104445.28,38399
4607.88,3071.92,107517.2,38399
3071.92,10751.72,99837.4,39934.96
4607.88,1535.96,107517.2,39934.96
4607.88,10751.72,104445.28,33791.12
4607.88,9215.76,107517.2,32255.16
4607.88,6143.84,104445.28,38399
3071.92,6143.84,107517.2,36863.04
1535.96,9215.76,105981.24,36863.04
4607.88,7679.8,107517.2,33791.12
4607.88,6143.84,107517.2,35327.08
1535.96,10751.72,101373.36,39934.96
0,9215.76,107517.2,36863.04
3071.92,10751.72,107517.2,32255.16
1535.96,7679.8,105981.24,38399
1535.96,9215.76,104445.28,38399
3071.92,3071.92,107517.2,39934.96
4607.88,7679.8,104445.28,36863.04
1535.96,4607.88,107517.2,39934.96
3071.92,7679.8,104445.28,38399
4607.88,10751.72,105981.24,32255.16
3071.92,6143.84,104445.28,39934.96
3071.92,10751.72,102909.32,36863.04
4607.88,7679.8,104445.28,36863.04
3071.92,7679.8,105981.24,36863.04
0,10751.72,107517.2,35327.08
4607.88,9215.76,104445.28,35327.08
1535.96,4607.88,107517.2,39934.96
4607.88,7679.8,101373.36,39934.96
4607.88,6143.84,104445.28,38399
0,6143.84,107517.2,39934.96
4607.88,10751.72,98301.44,39934.96
4607.88,9215.76,105981.24,33791.12
0,10751.72,102909.32,39934.96
1535.96,10751.72,105981.24,35327.08
4607.88,6143.84,104445.28,38399
4607.88,6143.84,107517.2,35327.08
3071.92,10751.72,105981.24,33791.12
3071.92,9215.76,107517.2,33791.12
4607.88,7679.8,105981.24,35327.08
4607.88,7679.8,102909.32,38399
0,10751.72,102909.32,39934.96
3071.92,6143.84,105981.24,38399
1535.96,9215.76,105981.24,36863.04
4607.88,7679.8,105981.24,35327.08
0,10751.72,107517.2,35327.08
1535.96,9215.76,102909.32,39934.96
1535.96,7679.8,104445.28,39934.96
3071.92,3071.92,107517.2,39934.96
3071.92,10751.72,101373.36,38399
1535.96,10751.72,102909.32,38399
1535.96,6143.84,107517.2,38399
3071.92,4607.88,107517.2,38399
1535.96,9215.76,107517.2,35327.08
